RecordID,Ability,Description
1,Adaptability,Powers up moves of the same type as the Pokémon
2,Aerilate,Normaltype moves become Flyingtype moves The power of those moves is boosted a little
3,Aftermath,Damages the attacker if it contacts the Pokémon with a finishing hit
4,Air Lock,Eliminates the effects of weather
5,Analytic,Boosts move power when the Pokémon moves last
6,Anger Point,The Pokémon is angered when it takes a critical hit and that maxes its Attack stat
7,Anticipation,The Pokémon can sense an opposing Pokémons dangerous moves
8,Arena Trap,Prevents opposing Pokémon from fleeing
9,Aroma Veil,Protects itself and its allies from attacks that limit their move choices
10,As One,This Ability combines the effects of both Calyrexs Unnerve Ability and GlastriersSpectriers Chilling NeighGrim Neigh Ability
11,Aura Break,The effects of Aura Abilities are reversed to lower the power of affected moves
12,Bad Dreams,Reduces the HP of sleeping opposing Pokémon
13,Ball Fetch,If the Pokémon is not holding an item it will fetch the Poke Ball from the first failed throw of the battle
14,Battery,Powers up ally Pokémons special moves
15,Battle Armor,Hard armor protects the Pokémon from critical hits
16,Battle Bond,Defeating an opposing Pokémon strengthens the Pokémons bond with its Trainer and it becomes AshGreninja Water Shuriken gets more powerful
17,Beast Boost,The Pokémon boosts its most proficient stat each time it knocks out a Pokémon
18,Berserk,Boosts the Pokémons Sp Atk stat when it takes a hit that causes its HP to become half or less
19,Big Pecks,Protects the Pokémon from Defenselowering effects
20,Blaze,Powers up Firetype moves when the Pokémons HP is low
21,Bulletproof,Protects the Pokémon from some ball and bomb moves
22,Cheek Pouch,Restores HP as well when the Pokémon eats a Berry
23,Chilling Neigh,When the Pokémon knocks out a target it utters a chilling neigh which boosts its Attack stat
24,Chlorophyll,Boosts the Pokémons Speed stat in harsh sunlight
25,Clear Body,Prevents other Pokémons moves or Abilities from lowering the Pokémons stats
26,Cloud Nine,Eliminates the effects of weather
27,Color Change,The Pokémons type becomes the type of the move used on it
28,Comatose,Its always drowsing and will never wake up It can attack without waking up
29,Competitive,Boosts the Sp Atk stat sharply when a stat is lowered
30,Compound Eyes,The Pokémons compound eyes boost its accuracy
31,Contrary,Makes stat changes have an opposite effect
32,Corrosion,The Pokémon can poison the target even if its a Steel or Poison type
33,Cotton Down,When the Pokémon is hit by an attack it scatters cotton fluff around and lowers the Speed stat of all Pokémon except itself
34,Curious Medicine,When the Pokémon is brought into battle any stat alterations of allies are removed
35,Cursed Body,May disable a move used on the Pokémon
36,Cute Charm,Contact with the Pokémon may cause infatuation
37,Damp,Prevents the use of explosive moves such as SelfDestruct by dampening its surroundings
38,Dancer,When another Pokémon uses a dance move it can use a dance move following it regardless of its Speed
39,Dark Aura,Powers up each Pokémons Darktype moves
40,Dauntless Shield,Boosts the Pokémons Defense stat when the Pokémon enters a battle
41,Dazzling,Surprises the opposing Pokémon making it unable to attack using priority moves
42,Defeatist,Halves the Pokémons Attack and Sp Atk stats when its HP becomes half or less
43,Defiant,Boosts the Pokémons Attack stat sharply when its stats are lowered
44,Delta Stream,The Pokémon changes the weather to eliminate all of the Flying types weaknesses
