Pokemon Id,Pokedex Number,Pokemon Name,Classification,Alternate Form Name,Original Pokemon ID,Legendary Type,Pokemon Height,Pokemon Weight,Primary Type,Secondary Type,Primary Ability,Primary Ability Description,Secondary Ability,Secondary Ability Description,Hidden Ability,Hidden Ability Description,Special Event Ability,Special Event Ability Description,Male Ratio,Female Ratio,Base Happiness,Game(s) of Origin,Region of Origin,Health Stat,Attack Stat,Defense Stat,Special Attack Stat,Special Defense Stat,Speed Stat,Health EV,Attack EV,Defense EV,Special Attack EV,Special Defense EV,Speed EV,Catch Rate,Experience Growth,Experience Growth Total,Experience Yield,Primary Egg Group,Secondary Egg Group,Egg Cycle Count,Pre-Evolution Pokemon Id,Evolution Details
1,1,Bulbasaur,Seed Pokemon,NULL,NULL,NULL,07,69,Grass,Poison,Overgrow,Powers up Grasstype moves when the Pokémons HP is low,NULL,NULL,Chlorophyll,Boosts the Pokémons Speed stat in harsh sunlight,NULL,NULL,875,125,70,Red,Kanto,45,49,49,65,65,45,0,0,0,1,0,0,45,Medium Slow,1059860,64,Monster,Grass,20,NULL,NULL
2,2,Ivysaur,Seed Pokemon,NULL,NULL,NULL,10,130,Grass,Poison,Overgrow,Powers up Grasstype moves when the Pokémons HP is low,NULL,NULL,Chlorophyll,Boosts the Pokémons Speed stat in harsh sunlight,NULL,NULL,875,125,70,Red,Kanto,60,62,63,80,80,60,0,0,0,1,1,0,45,Medium Slow,1059860,142,Monster,Grass,20,1,Level 16
3,3,Venusaur,Seed Pokemon,NULL,NULL,NULL,20,1000,Grass,Poison,Overgrow,Powers up Grasstype moves when the Pokémons HP is low,NULL,NULL,Chlorophyll,Boosts the Pokémons Speed stat in harsh sunlight,NULL,NULL,875,125,70,Red,Kanto,80,82,83,100,100,80,0,0,0,2,1,0,45,Medium Slow,1059860,236,Monster,Grass,20,2,Level 32
4,3,Venusaur,Seed Pokemon,Mega,3,NULL,24,1555,Grass,Poison,Thick Fat,The Pokémon is protected by a layer of thick fat which halves the damage taken from Fire and Icetype moves,NULL,NULL,NULL,NULL,NULL,NULL,875,125,70,X,Kalos,80,100,123,122,120,80,0,0,0,2,1,0,45,Medium Slow,1059860,281,Monster,Grass,20,NULL,NULL
5,4,Charmander,Lizard Pokemon,NULL,NULL,NULL,06,85,Fire,NULL,Blaze,Powers up Firetype moves when the Pokémons HP is low,NULL,NULL,Solar Power,Boosts the Sp Atk stat in harsh sunlight but HP decreases every turn,NULL,NULL,875,125,70,Red,Kanto,39,52,43,60,50,65,0,0,0,0,0,1,45,Medium Slow,1059860,62,Monster,Dragon,20,NULL,NULL
6,5,Charmeleon,Flame Pokemon,NULL,NULL,NULL,11,190,Fire,NULL,Blaze,Powers up Firetype moves when the Pokémons HP is low,NULL,NULL,Solar Power,Boosts the Sp Atk stat in harsh sunlight but HP decreases every turn,NULL,NULL,875,125,70,Red,Kanto,58,64,58,80,65,80,0,0,0,1,0,1,45,Medium Slow,1059860,142,Monster,Dragon,20,5,Level 16
7,6,Charizard,Flame Pokemon,NULL,NULL,NULL,17,905,Fire,Flying,Blaze,Powers up Firetype moves when the Pokémons HP is low,NULL,NULL,Solar Power,Boosts the Sp Atk stat in harsh sunlight but HP decreases every turn,NULL,NULL,875,125,70,Red,Kanto,78,84,78,109,85,100,0,0,0,3,0,0,45,Medium Slow,1059860,240,Monster,Dragon,20,6,Level 32
8,6,Charizard,Flame Pokemon,Mega X,7,NULL,17,1105,Fire,Dragon,Tough Claws,Powers up moves that make direct contact,NULL,NULL,NULL,NULL,NULL,NULL,875,125,70,X,Kalos,78,130,111,130,85,100,0,0,0,3,0,0,45,Medium Slow,1059860,285,Monster,Dragon,20,NULL,NULL
9,6,Charizard,Flame Pokemon,Mega Y,7,NULL,17,1005,Fire,Flying,Drought,Turns the sunlight harsh when the Pokémon enters a battle,NULL,NULL,NULL,NULL,NULL,NULL,875,125,70,X,Kalos,78,104,78,159,115,100,0,0,0,3,0,0,45,Medium Slow,1059860,285,Monster,Dragon,20,NULL,NULL
10,7,Squirtle,Tiny Turtle Pokemon,NULL,NULL,NULL,05,90,Water,NULL,Torrent,Powers up Watertype moves when the Pokémons HP is low,NULL,NULL,Rain Dish,The Pokémon gradually regains HP in rain,NULL,NULL,875,125,70,Red,Kanto,44,48,65,50,64,43,0,0,1,0,0,0,45,Medium Slow,1059860,63,Monster,Water 1,20,NULL,NULL
